video_id,video_title,stage,parent_id,status_code,message
Y5TcrxBcV6E,Google Pixel 10 vs Pixel 9: The Ultimate Camera Test!,comments.list,UgxougXbDYZZ_kGbOgB4AaABAg,403,"YouTube API request failed for comments: {
  ""error"": {
    ""code"": 403,
    ""message"": ""The request cannot be completed because you have exceeded your \u003ca href=\""/youtube/v3/getting-started#quota\""\u003equota\u003c/a\u003e."",
    ""errors"": [
      {
        ""message"": ""The request cannot be completed because you have exceeded your \u003ca href=\""/youtube/v3/getting-started#quota\""\u003equota\u003c/a\u003e."",
        ""domain"": ""youtube.quota"",
        ""reason"": ""quotaExceeded""
      }
    ]
  }
}"
Y5TcrxBcV6E,Google Pixel 10 vs Pixel 9: The Ultimate Camera Test!,comments.list,UgxTT6gnv7r5Z1sYgcl4AaABAg,403,"YouTube API request failed for comments: {
  ""error"": {
    ""code"": 403,
    ""message"": ""The request cannot be completed because you have exceeded your \u003ca href=\""/youtube/v3/getting-started#quota\""\u003equota\u003c/a\u003e."",
    ""errors"": [
      {
        ""message"": ""The request cannot be completed because you have exceeded your \u003ca href=\""/youtube/v3/getting-started#quota\""\u003equota\u003c/a\u003e."",
        ""domain"": ""youtube.quota"",
        ""reason"": ""quotaExceeded""
      }
    ]
  }
}"
Y5TcrxBcV6E,Google Pixel 10 vs Pixel 9: The Ultimate Camera Test!,comments.list,UgxPup5TWHKjBMxSsWN4AaABAg,403,"YouTube API request failed for comments: {
  ""error"": {
    ""code"": 403,
    ""message"": ""The request cannot be completed because you have exceeded your \u003ca href=\""/youtube/v3/getting-started#quota\""\u003equota\u003c/a\u003e."",
    ""errors"": [
      {
        ""message"": ""The request cannot be completed because you have exceeded your \u003ca href=\""/youtube/v3/getting-started#quota\""\u003equota\u003c/a\u003e."",
        ""domain"": ""youtube.quota"",
        ""reason"": ""quotaExceeded""
      }
    ]
  }
}"
Y5TcrxBcV6E,Google Pixel 10 vs Pixel 9: The Ultimate Camera Test!,comments.list,Ugz50-2HgjuUENV2vld4AaABAg,403,"YouTube API request failed for comments: {
  ""error"": {
    ""code"": 403,
    ""message"": ""The request cannot be completed because you have exceeded your \u003ca href=\""/youtube/v3/getting-started#quota\""\u003equota\u003c/a\u003e."",
    ""errors"": [
      {
        ""message"": ""The request cannot be completed because you have exceeded your \u003ca href=\""/youtube/v3/getting-started#quota\""\u003equota\u003c/a\u003e."",
        ""domain"": ""youtube.quota"",
        ""reason"": ""quotaExceeded""
      }
    ]
  }
}"
Y5TcrxBcV6E,Google Pixel 10 vs Pixel 9: The Ultimate Camera Test!,comments.list,UgwD8mp-ZJpwJbBKdFt4AaABAg,403,"YouTube API request failed for comments: {
  ""error"": {
    ""code"": 403,
    ""message"": ""The request cannot be completed because you have exceeded your \u003ca href=\""/youtube/v3/getting-started#quota\""\u003equota\u003c/a\u003e."",
    ""errors"": [
      {
        ""message"": ""The request cannot be completed because you have exceeded your \u003ca href=\""/youtube/v3/getting-started#quota\""\u003equota\u003c/a\u003e."",
        ""domain"": ""youtube.quota"",
        ""reason"": ""quotaExceeded""
      }
    ]
  }
}"
Y5TcrxBcV6E,Google Pixel 10 vs Pixel 9: The Ultimate Camera Test!,comments.list,Ugx81vGDewc4UEajMEB4AaABAg,403,"YouTube API request failed for comments: {
  ""error"": {
    ""code"": 403,
    ""message"": ""The request cannot be completed because you have exceeded your \u003ca href=\""/youtube/v3/getting-started#quota\""\u003equota\u003c/a\u003e."",
    ""errors"": [
      {
        ""message"": ""The request cannot be completed because you have exceeded your \u003ca href=\""/youtube/v3/getting-started#quota\""\u003equota\u003c/a\u003e."",
        ""domain"": ""youtube.quota"",
        ""reason"": ""quotaExceeded""
      }
    ]
  }
}"
Y5TcrxBcV6E,Google Pixel 10 vs Pixel 9: The Ultimate Camera Test!,comments.list,UgymTPLfVo-w2bvEkrV4AaABAg,403,"YouTube API request failed for comments: {
  ""error"": {
    ""code"": 403,
    ""message"": ""The request cannot be completed because you have exceeded your \u003ca href=\""/youtube/v3/getting-started#quota\""\u003equota\u003c/a\u003e."",
    ""errors"": [
      {
        ""message"": ""The request cannot be completed because you have exceeded your \u003ca href=\""/youtube/v3/getting-started#quota\""\u003equota\u003c/a\u003e."",
        ""domain"": ""youtube.quota"",
        ""reason"": ""quotaExceeded""
      }
    ]
  }
}"
Y5TcrxBcV6E,Google Pixel 10 vs Pixel 9: The Ultimate Camera Test!,comments.list,UgwqBHIMTsUBTf2x5ax4AaABAg,403,"YouTube API request failed for comments: {
  ""error"": {
    ""code"": 403,
    ""message"": ""The request cannot be completed because you have exceeded your \u003ca href=\""/youtube/v3/getting-started#quota\""\u003equota\u003c/a\u003e."",
    ""errors"": [
      {
        ""message"": ""The request cannot be completed because you have exceeded your \u003ca href=\""/youtube/v3/getting-started#quota\""\u003equota\u003c/a\u003e."",
        ""domain"": ""youtube.quota"",
        ""reason"": ""quotaExceeded""
      }
    ]
  }
}"
Y5TcrxBcV6E,Google Pixel 10 vs Pixel 9: The Ultimate Camera Test!,comments.list,UgxcdpYalQhlW37mxqJ4AaABAg,403,"YouTube API request failed for comments: {
  ""error"": {
    ""code"": 403,
    ""message"": ""The request cannot be completed because you have exceeded your \u003ca href=\""/youtube/v3/getting-started#quota\""\u003equota\u003c/a\u003e."",
    ""errors"": [
      {
        ""message"": ""The request cannot be completed because you have exceeded your \u003ca href=\""/youtube/v3/getting-started#quota\""\u003equota\u003c/a\u003e."",
        ""domain"": ""youtube.quota"",
        ""reason"": ""quotaExceeded""
      }
    ]
  }
}"
Y5TcrxBcV6E,Google Pixel 10 vs Pixel 9: The Ultimate Camera Test!,comments.list,UgwzrjEARYZ_e5NdsHh4AaABAg,403,"YouTube API request failed for comments: {
  ""error"": {
    ""code"": 403,
    ""message"": ""The request cannot be completed because you have exceeded your \u003ca href=\""/youtube/v3/getting-started#quota\""\u003equota\u003c/a\u003e."",
    ""errors"": [
      {
        ""message"": ""The request cannot be completed because you have exceeded your \u003ca href=\""/youtube/v3/getting-started#quota\""\u003equota\u003c/a\u003e."",
        ""domain"": ""youtube.quota"",
        ""reason"": ""quotaExceeded""
      }
    ]
  }
}"
